2021-01-21 10:57:05.966 [main] DEBUG com.fx.shop.ShopApplication - Running with Spring Boot v2.4.0, Spring v5.3.1
2021-01-21 11:07:40.439 [main] DEBUG com.fx.shop.ShopApplication - Running with Spring Boot v2.4.0, Spring v5.3.1
2021-01-21 11:18:12.781 [main] DEBUG com.fx.shop.ShopApplication - Running with Spring Boot v2.4.0, Spring v5.3.1
2021-01-21 11:22:36.369 [main] DEBUG com.fx.shop.ShopApplication - Running with Spring Boot v2.4.0, Spring v5.3.1
2021-01-21 11:27:03.368 [main] DEBUG com.fx.shop.ShopApplication - Running with Spring Boot v2.4.0, Spring v5.3.1
2021-01-21 11:32:42.087 [main] DEBUG com.fx.shop.ShopApplication - Running with Spring Boot v2.4.0, Spring v5.3.1
2021-01-21 11:35:59.445 [main] DEBUG com.fx.shop.ShopApplication - Running with Spring Boot v2.4.0, Spring v5.3.1
2021-01-21 11:37:58.495 [main] DEBUG com.fx.shop.ShopApplication - Running with Spring Boot v2.4.0, Spring v5.3.1
2021-01-21 11:45:43.053 [main] DEBUG com.fx.shop.ShopApplication - Running with Spring Boot v2.4.0, Spring v5.3.1
2021-01-21 14:11:04.344 [main] DEBUG com.fx.shop.ShopApplication - Running with Spring Boot v2.4.0, Spring v5.3.1
2021-01-21 14:11:56.254 [main] DEBUG com.fx.shop.ShopApplication - Running with Spring Boot v2.4.0, Spring v5.3.1
2021-01-21 14:13:02.990 [main] DEBUG com.fx.shop.ShopApplication - Running with Spring Boot v2.4.0, Spring v5.3.1
2021-01-21 14:13:38.645 [main] DEBUG com.fx.shop.ShopApplication - Running with Spring Boot v2.4.0, Spring v5.3.1
2021-01-21 14:43:10.594 [main] DEBUG com.fx.shop.ShopApplication - Running with Spring Boot v2.4.0, Spring v5.3.1
2021-01-21 14:45:49.844 [main] DEBUG com.fx.shop.ShopApplication - Running with Spring Boot v2.4.0, Spring v5.3.1
2021-01-21 14:51:11.527 [main] DEBUG com.fx.shop.ShopApplication - Running with Spring Boot v2.4.0, Spring v5.3.1
2021-01-21 15:12:34.181 [main] DEBUG com.fx.shop.ShopApplication - Running with Spring Boot v2.4.0, Spring v5.3.1
